No,Label,kalimat
1,registrasi,min mau tanya kalau mau registrasi online calon mahasiswa baru tahun ini bagaimana
2,registrasi,halo mohon maaf saat ini yang dapat laku online hanya daftar saja untuk registrasi silah datang langsung ke udinus terimakasih
3,registrasi,saya telah di terima di udinus pada pmdk ke 2 tapi belum laku registrasi apakah masih bisa untuk registrasi
4,registrasi,selamat siang bisa silah datang ke udinus untuk cetak surat umum baru dan informasi putar registrasi terima kasih
5,registrasi,sore kak saya mau tanya nih batas bayar daftar ulang telah umum terima berapa lama ya trus untuk biaya daftar jalur uji tulis berapa
6,registrasi,selamat pagi untuk jadwal registrasi dapat cek lalu link ini http pmb nus ac id dan untuk biaya daftar jalur reguler adalah besar rp 200 000 - terima kasih
7,registrasi,selamat siang saya ingin tanya apakah benar ketika daftar ulang harus lampir skck
8,registrasi,selamat pagi pada saat daftar ulang tidak ada tentu syarat bawa skck untuk syarat registrasi ulang dapat lihat di http pmb nus ac id prosedur-daftar-ulang terima kasih
9,registrasi,permisi saya mau tanya saya telah terima di udinus lewat sekolah saya bk maksud tapi saya juga udah cek di pengumumanya tapi kok saya mau cetak surat umum itu pakai nomor daftar dan nomor telepon tetapi udah saya coba nomor saya dan nomor orang tua saya yang saya lampir pada form daftar tetapi gak bisa itu gimana ya mohon bantuanya
10,registrasi,selamat pagi basmoro apakah km lihat umum lalu hp kadang browser hp tidak compatible coba pakai pc untuk mendownload surat umum untuk konfirmasi saja nomor hp orang tua km 920 silah coba kembali
11,registrasi,malam kak saya mau tanya website buat lihat brpa biaya yg harus d bayarkn saat registrasi ulang jalur pmdk d mna ya kak
12,registrasi,silah untuk surat umum dapat didownload lalu link ikut http apply nus ac id read umum terima kasih
13,registrasi,malam kak bagaiman jika ingin tau berapa biaya yg harus di bayarkn untuk registrasi ulang pmdk 2 ya kak
14,registrasi,selamat pagi tedi untuk biaya yang harus bayar pada saat registrasi pmdk 2 dapat lihat di surat umum yang dapat kamu download di website udinus dengan menginputkan nomer daftar dan nomer hp terima kasih
15,registrasi,pagi kak kak kmaren kan saya sudah daftar di udinus yang gelombang 1 udah ketrima di akuntansi tinggal registrasi saja kalo saya mau pindah fakultas it gimana kak
16,registrasi,sore kak ayu untuk pindah program studi boleh lama syarat penuh dan masih ada quota silah langsung ke bagi registrasi dengan bawa surat terang terima untuk dapat cek dan dapat jelas lebih lanjut prosedur
17,registrasi,bagaimana untuk prosedur registrasi mahasiswa baru cara online
18,registrasi,prosedur registrasi mahasiswa baru cara online bagaimana ya
19,registrasi,tata cara registrasi mahasiswa baru online gimana kak
20,registrasi,kak mau tanya cara urus registrasi mahasiswa baru online gimana ya kak
21,registrasi,min ada pandu untuk registrasi mahasiswa baru online
22,registrasi,minta info kak untuk registrasi mahasiswa baru online di udinus
23,registrasi,mohon bantu untuk registrasi mahasiswa baru online
24,registrasi,registrasi silah datang langsung ke udinus
25,registrasi,untuk registrasi belum bisa laku cara online kak
26,registrasi,silah langsung di udinus kak untuk registrasi
27,registrasi,registrasi saat ini laku via offline di udinus kak
28,registrasi,mohon maaf kak untuk registrasi laku di udinus untuk online hanya layan daftar
29,registrasi,silah datang ke udinus kak untuk registrasi
30,registrasi,untuk registrasi laku di udinus cara offline
31,registrasi,untuk pmdk tahap 2 masih bisa registrasi
32,registrasi,registrasi pmdk tahap 2 apakah masih buka
33,registrasi,masih boleh ga kak untuk registrasi pmdk tahap 2
34,registrasi,saya terima pmdk tahap 2 apakah masih boleh registrasi
35,registrasi,kak saya mau registrasi pmdk tahap 2 apakah masih bisa
36,registrasi,min untuk registrasi pmdk tahap 2 apakah masih buka
37,registrasi,boleh ga min untuk registrasi pmdk tahap 2 sekarang
38,registrasi,bisa kak silah datang langsung ke udinus untuk dapat informasi putar registrasi
39,registrasi,silah datang langsung ke udinus kak untuk registrasi
40,registrasi,bisa kakak bisa datang langsung ke udinus untuk laku registrasi
41,registrasi,registrasi pmdk tahap 2 bisa langsung laku di udinus
42,registrasi,masih bisa kak untuk registrasi pmdk tahap 2
43,registrasi,langsung datang saja ke udinus untuk registrasi
44,registrasi,registrasi masih bisa laku terima kasih
45,registrasi,kapan ya min batas bayar daftar ulang
46,registrasi,untuk daftar ulang maksimal bayar kapan kak
