No,Label,kalimat
1,administrasi,Halo min apakah ada alternatif lain saat upload bukti pembayaran via fax? Karna sulit nemuin fax disini
2,administrasi,"Halo. Untuk upload bukti pembayaran pendaftaran online dapat dilakukan langsung melalui sistem, jadi tidak perlu menggunakan fax. Terima kasih."
3,administrasi,"Misi min, saya boleh minta nomor WA nya bikin sama TU ? buat tanya tanya soal administrasi"
4,administrasi,"Selamat siang. Maaf, bikin apakah yang dimaksud itu biku? TU nya fakultas apa ya?"
5,kuliah,Siang kak saya mau tanya apa ada kelas karyawan di Udinus? Terimakasih 
6,kuliah,"Halo kak, untuk kelas karyawan jumat-sabtu saat ini hanya ada di Fakultas Kesehatan saja."
7,pendaftaran,"Admin saya mau tanya,,untuk penyerahan berkas daftar ulang hari sabtu bisa nggak ya???"
8,pendaftaran,Selamat pagi. Hari Sabtu Udinus membuka pelayanan pendaftaran dan registrasi sampai pukul 16.00 WIB. Terima kasih.
9,pendaftaran,Kalo dari smk jurusannya TKJ terus mau ambil fakultas akuntasi/manajemen S1 bisa gak ya?
10,pendaftaran,"Halo kak Afifah. Untuk pemilihan jurusan sesuai dengan minatnya saja, tidak tergantung oleh jurusan saat SMK."
11,registrasi,MIN MAU TANYA KALAU MAU REGISTRASI ONLINE CALON MAHASISWA BARU TAHUN INI BAGAIMANA?
12,registrasi,"Halo .. Mohon maaf, saat ini yang dapat dilakukan online hanya pendaftaran saja. Untuk registrasi silahkan datang langsung ke Udinus. Terimakasih."
13,pendaftaran,"Halo min, mau tanya kira kira masih bisa daftar di udinua lagi nggak min?  Soalnya di webnya kok ngga ada keterangan tanggalnya cumn ada jalur 1c 2a gitu.  Mohon infonya min Terima kasih"
14,pendaftaran,"Kamu ketahuan ga baca berarti  Setiap gelombang selalu kami cantumkan tanggal pendaftaran, tanggal ujian, dan tanggal registrasi. Mohon dicek kembali. Terima kasih."
15,registrasi,"Saya telah di terima di Udinus pada PMDK ke 2 tapi belum melakukan registrasi,Apakah masih bisa untuk registrasi???"
16,registrasi,"Selamat siang. Bisa, silahkan datang ke Udinus untuk dicetakkan surat pengumuman baru dan informasi seputar registrasi. Terima kasih"
17,pendaftaran,Untuk biaya pendaftaran s2 dan jurusan2nya lihat di mana ya web infonya? 
18,pendaftaran,Untuk informasi seputar Program Pasca Sarjana dapat dicek melalui pps.dinus.ac.id Terimakasih.
19,administrasi,"Halo, kak. Saya mau tanya, saya rencana nih mau transfer pembayaran registrasi maba, nah kalo misalnya pake m-banking gimana ya? Kan diminta slip pembayarannya tuh sebagai bukti, kalo m-banking gimana? Saya screenshoot buktinya lalu print, atau gimana ya? Ditunggu responnya, terimakasih. ?"
20,administrasi,Halo .. untuk pembayaran registrasi dapat dilakukan dengan cara transfer melalui m-banking. Untuk bukti transfernya bisa di screenshoot dan di print. Jangan lupa membawa berkas2 registrasi yang sudah ditentukan di link berikut http://pmb.dinus.ac.id/prosedur-daftar-ulang/ Terimakasih
21,kuliah,"Halo min, maaf kalo OOT bingung mau nanya dimana. Kalo mau nanya tentang jadwal, konsultasi dimana ya? Soalnya ada jadwal yang bentrok"
22,kuliah,Halo. Jadwal apa ya? Jadwal KRS maksdnya? Kalo KRS silahkan menghubungi TU Fakultas masing-masing. Terima kasih.
23,pendaftaran,"Halo, kak apakah ada tata tertib atau persyaratan yang harus dilaksanakan saat seleksi sepert peralatan yang harus dibawa, lalu pakaian yang yg dikenakan?"
24,pendaftaran,"Selamat siang. Test bersama Penerimaan Mahasiswa Baru Udinus nantinya menggunakan komputer, sehingga peralatan yang dibawa hanyalah kartu test dan bolpoint yang dipakai untuk menghitung. Untuk pakaian yang dikenakan adalah bebas dan sopan. Terima kasih."
25,pendaftaran,"selamat sore kk saya muhamad rizki pendaftar jalur reguler , saya mau tanya itu kok pas mau cetak kok agama saya tertulis lainnya yah? padahal di form gada opsi agama, dan kota/prov nya juga kosong http://prntscr.com/nbdzff mohon penjelasannya"
26,pendaftaran,Halo Rizki .. sistem kami sedang dalam perbaikan. Mohon di cek ulang kembali untuk data nya. Terimakasih
27,pendaftaran,"Admin, Adik saya ada minat di jurusan rekam medis, tp dr IPS bisa tidak ya ? lalu saya lulusan FISIP 2015, Dulu kulnya di PTN Lain, bisa ga semisal ambil rekam medis. soalnya kerja pegang bagian rekam medis."
