No,Label,kalimat
1,administrasi,halo min apakah ada alternatif lain saat upload bukti bayar via fax karna sulit nemuin fax sini
2,administrasi,halo untuk upload bukti bayar daftar online dapat laku langsung lalu sistem jadi tidak perlu guna fax terima kasih
3,administrasi,misi min saya boleh minta nomor wa nya bikin sama tu buat tanya tanya soal administrasi
4,administrasi,selamat siang maaf bikin apakah yang maksud itu biku tu nya fakultas apa ya
5,administrasi,halo kak saya mau tanya saya rencana nih mau transfer bayar registrasi maba nah kalo misal pake m-banking gimana ya kan minta slip bayar tuh bagai bukti kalo m-banking gimana saya screenshoot bukti lalu print atau gimana ya tunggu responnya terimakasih
6,administrasi,halo untuk bayar registrasi dapat laku dengan cara transfer lalu m-banking untuk bukti transfer bisa di screenshoot dan di print jangan lupa bawa berkas2 registrasi yang sudah tentu di link ikut http pmb nus ac id prosedur-daftar-ulang terimakasih
7,pendaftaran,admin saya mau tanya untuk serah berkas daftar ulang hari sabtu bisa nggak ya
8,pendaftaran,selamat pagi hari sabtu udinus buka layan daftar dan registrasi sampai pukul 16 00 wib terima kasih
9,pendaftaran,kalo dari smk jurus tkj terus mau ambil fakultas akuntasi manajemen s1 bisa gak ya
10,pendaftaran,halo kak afifah untuk pilih jurus sesuai dengan minat saja tidak gantung oleh jurus saat smk
11,pendaftaran,halo min mau tanya kira kira masih bisa daftar di udinua lagi nggak min soal di webnya kok ngga ada terang tanggal cumn ada jalur 1c 2a gitu mohon info min terima kasih
12,pendaftaran,kamu tahu ga baca arti tiap gelombang selalu kami cantum tanggal daftar tanggal uji dan tanggal registrasi mohon cek kembali terima kasih
13,pendaftaran,untuk biaya daftar s2 dan jurusan2nya lihat di mana ya web info
14,pendaftaran,untuk informasi putar program pasca sarjana dapat cek lalu pps nus ac id terimakasih
15,pendaftaran,halo kak apakah ada tata tertib atau syarat yang harus laksana saat seleksi sepert alat yang harus bawa lalu pakai yang yg kena
16,pendaftaran,selamat siang test sama terima mahasiswa baru udinus nanti guna komputer sehingga alat yang bawa hanya kartu test dan bolpoint yang pakai untuk hitung untuk pakai yang kena adalah bebas dan sopan terima kasih
17,pendaftaran,selamat sore kk saya muhamad rizki daftar jalur reguler saya mau tanya itu kok pas mau cetak kok agama saya tulis lain yah padahal di form gada opsi agama dan kota prov nya juga kosong http prntscr com nbdzff mohon jelas
18,pendaftaran,halo rizki sistem kami sedang dalam baik mohon di cek ulang kembali untuk data nya terimakasih
19,pendaftaran,admin adik saya ada minat di jurus rekam medis tp dr ips bisa tidak ya lalu saya lulus fisip 2015 dulu kulnya di ptn lain bisa ga misal ambil rekam medis soal kerja pegang bagi rekam medis
20,pendaftaran,selamat pagi untuk ambil jurus rekam medis dapat dari semua jurus karena memang akan kami ajar dari dasar jika ingin ambil kuliah lagi di jurus rekam medis arti pada saat daftar yang serta adalah ijazah sma untuk rekam medis sendiri kami sedia kelas karyawan di hari jumat dan sabtu yang mulai di siang hari terima kasih
21,pendaftaran,kak kalo mah pindah jurus ke prodi yang ke 2 bisa
22,pendaftaran,belum registrasi ya untuk pindah jurus silah datang langsung ke udinus di gedung g lantai 1 di bagi daftar terimakasih
23,pendaftaran,min mau tanya klk buat daftar yg pmdk skrg udh gabisa ya
24,pendaftaran,selamat pagi untuk jalur pmdk 2019 sudah tidak bisa karena saat ini kami sudah buka jalur reguler akan tetapi kami akan buka jalur pmdk 2020 mulai bulan oktober 2019 jadi kuliah nya masuk di bulan september 2020 terima kasih
25,pendaftaran,kak mau tanya kalau saya punya sertifikat harga banyak masuk udinus lewat jalur apa dan apakah bisa dapat beasiswa
26,pendaftaran,selamat pagi udinus punya 2 jalur daftar yaitu jalur pmdk dan jalur reguler jalur pmdk rupa jalur prestasi mana sertifikat juara baik bidang akademik maupun non akademik dapat tunjang nilai maksimal sertifikat yang dapat diikutsertakan adalah 2 dari yang paling tinggi tingkat untuk jalur pmdk akan ada potong uang gedung hingga 100 namun jalur pmdk hanya dapat ikut siswa kelas 3 dan yang sudah lulus 1 tahun sbelumnya untuk saat ini jalur pmdk sudah akhir namun kami baru saja buka jalur reguler terima kasih
27,pendaftaran,daftar s2 info liht di mana ya
28,pendaftaran,selamat pagi informasi putar daftar program pasca sarjana udinus dapat lihat lalu alamat url ikut http pps nus ac id terima kasih
29,pendaftaran,halo kak mau tanya kan jalur reguler bisa ikut tes sama one day service nah kalo ikut one day service bisa daftar via online dulu atau langsung dateng ke tempat aja lalu untuk yang one day service bebas pilih hari apa aja kan ya kak terima kasih
30,pendaftaran,halo putri untuk sistem oneday service arti kamu datang langsung ke udinus untuk laku daftar nah di hari itu juga kamu bisa laku test dan langsung dapat surat umum terima atau tidak jika kamu sudah daftar kamu boleh laku test maksimal 3 hari telah laku daftar jika lebih dari itu maka kamu akan ikut test sama yang sudah jadwal pada gelombang daftar yang kamu ikut terima kasih
31,pendaftaran,kak kalau tiap login salah terus gimana ya padahal email sm password nya udah benar
32,pendaftaran,selamat pagi nissa segala kendala kait tentang daftar online dapat langsung hubung narahubung kami yudit arum 085740664541 terima kasih
33,pendaftaran,halo kak tes masuk jalur reguler kapan yah terima kasih
34,pendaftaran,selamat pagi daftar jalur reguler akan mulai tanggal 1 april untuk test nya dapat ikut test sama atau test pada saat hari daftar oneday service terima kasih
35,pendaftaran,malam ka saya mau tanya kan saya sudah isi form daftar tinggal bayar brp biaya yang harus saya bayar ka
36,pendaftaran,selamat pagi biaya daftar sudah cantum di halaman pada saat daftar biaya daftar untuk jalur pmdk adalah rp 100 000 transfer ke no rekening yang sudah tera bukti transfer di scan lalu di upload di halaman daftar terima kasih
37,pendaftaran,untuk info pendafttran s2 mana ya linknya
38,komentar,sukses terus untuk udinus moga selalu prestasi dan bisa cetak lulus baik yang siap saing di dunia kerja dan dalam hidup masyarakat
39,kuliah,selamat siang mohon maaf udinus tidak buka kelas sabtu dan minggu kami punya kelas karyawan di hari jumat dan sabtu akan tetapi khusus untuk fakultas sehat terima kasih
40,kuliah,rekam medis informasi bisa masuk kelas karyawan ka
41,kuliah,selamat pagi khusnul untuk semua program studi di fakultas sehat ada kelas karyawan di hari jumat dan sabtu daftar dapat laku di jalur reguler terima kasih
42,kuliah,malam kak aku dari prodi ti mau tanya nih matkul kuliah aku ada 5 nih kalo salah satu matkul sebut aku mau keluar bisa tidak ya karena salah satu dari matkul sebut aku gak mampu
43,kuliah,selamat pagi jodie masalah seperti ini baik anda konsultasi dengan dosen ampu lebih dahulu barangkali beliau milik solusi yg lain atau anda juga bisa konsultasi pada dosen wali anda
44,kuliah,assalamualaikum kak mau tanya untuk jurus bahasa jepang ada kelas pegawai gak
45,kuliah,waalaikumsalam yascha untuk kelas pegawai tidak ada ada kelas malam kelas pagi
